Dn-Score (degree corrected),DyNet Rewiring (Dn-score),Edge Count,IFNG_pos.sif_present,name,osm_pos.sif_present,selected,shared name
0.5,17,34,FALSE,HIF1A,TRUE,FALSE,HIF1A
0,0,1,TRUE,http://identifiers.org/reactome/R-HSA-6790036 http://identifiers.org/reactome/R-HSA-6797258,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-6790036 http://identifiers.org/reactome/R-HSA-6797258
0.49999999999999994,5,3,FALSE,JUN,TRUE,FALSE,JUN
0.25,0.5,2,TRUE,EBF1,TRUE,FALSE,EBF1
0,0,1,TRUE,http://identifiers.org/reactome/R-HSA-977295 http://identifiers.org/reactome/R-HSA-977271,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-977295 http://identifiers.org/reactome/R-HSA-977271
0.5,0.5,1,FALSE,http://identifiers.org/reactome/R-HSA-977290 http://identifiers.org/reactome/R-HSA-977271,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-977290 http://identifiers.org/reactome/R-HSA-977271
0.5000000000000001,1.0000000000000002,2,FALSE,MYD88,TRUE,FALSE,MYD88
0.5000000000000001,1.0000000000000002,2,FALSE,CA9,TRUE,FALSE,CA9
0.5,0.5,1,FALSE,http://identifiers.org/reactome/R-HSA-1235035 http://pathwaycommons.org/pc2/TemplateReaction_abbedcd19675149f5474feab2fb048ea http://identifiers.org/reactome/R-HSA-1235075 http://pathwaycommons.org/pc2/TemplateReactionRegulation_69e02b8c8ffaa93c387552784a250520,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-1235035 http://pathwaycommons.org/pc2/TemplateReaction_abbedcd19675149f5474feab2fb048ea http://identifiers.org/reactome/R-HSA-1235075 http://pathwaycommons.org/pc2/TemplateReactionRegulation_69e02b8c8ffaa93c387552784a250520
0.5,4.5,9,FALSE,JUNB,TRUE,FALSE,JUNB
0.5,0.5,1,FALSE,HBP1,TRUE,FALSE,HBP1
0.5000000000000001,1.0000000000000002,2,FALSE,BCL2A1,TRUE,FALSE,BCL2A1
0.5,2,4,FALSE,KDR,TRUE,FALSE,KDR
0.5,0.5,1,FALSE,http://pathwaycommons.org/pc2/TemplateReactionRegulation_f6aa898f93a8b92320af7fee7a7a90a7 http://pathwaycommons.org/pc2/TemplateReaction_9926d2cacf7311bd5f9269bec54b19fe,TRUE,FALSE,http://pathwaycommons.org/pc2/TemplateReactionRegulation_f6aa898f93a8b92320af7fee7a7a90a7 http://pathwaycommons.org/pc2/TemplateReaction_9926d2cacf7311bd5f9269bec54b19fe
0.5,0.5,1,FALSE,RGL1,TRUE,FALSE,RGL1
0.5,0.5,1,FALSE,http://identifiers.org/reactome/R-HSA-1989777 http://identifiers.org/reactome/R-HSA-1989822,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-1989777 http://identifiers.org/reactome/R-HSA-1989822
0.5,0.5,1,FALSE,PIK3R1,TRUE,FALSE,PIK3R1
0,0,1,TRUE,http://identifiers.org/reactome/R-HSA-6790041 http://identifiers.org/reactome/R-HSA-6797261,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-6790041 http://identifiers.org/reactome/R-HSA-6797261
0.5,0.5,1,FALSE,DAPK1,TRUE,FALSE,DAPK1
0.5,0.5,1,FALSE,http://pathwaycommons.org/pc2/TemplateReaction_3bdded3012b3f777b9eb8c2877d74d81 http://pathwaycommons.org/pc2/TemplateReactionRegulation_f18118014971049facff6ef3d11d6c4c,TRUE,FALSE,http://pathwaycommons.org/pc2/TemplateReaction_3bdded3012b3f777b9eb8c2877d74d81 http://pathwaycommons.org/pc2/TemplateReactionRegulation_f18118014971049facff6ef3d11d6c4c
0.25,2,8,TRUE,STAT5A,TRUE,FALSE,STAT5A
0.5,0.5,1,FALSE,HK2,TRUE,FALSE,HK2
0.5,0.5,1,FALSE,http://pathwaycommons.org/pc2/TemplateReactionRegulation_3aaf8ad38edd309096a37b0f0ddd2b5c http://pathwaycommons.org/pc2/TemplateReaction_ba335c7f75be329f2393577f7992c31e,TRUE,FALSE,http://pathwaycommons.org/pc2/TemplateReactionRegulation_3aaf8ad38edd309096a37b0f0ddd2b5c http://pathwaycommons.org/pc2/TemplateReaction_ba335c7f75be329f2393577f7992c31e
0.5,0.5,1,FALSE,http://identifiers.org/reactome/R-HSA-3858384 http://identifiers.org/reactome/R-HSA-381337,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-3858384 http://identifiers.org/reactome/R-HSA-381337
0.41666666666666674,2.5000000000000004,6,TRUE,ABCA1,TRUE,FALSE,ABCA1
0.3333333333333334,1.0000000000000002,3,TRUE,http://identifiers.org/reactome/R-HSA-1989820 http://identifiers.org/reactome/R-HSA-1989765,TRUE,FALSE,http://identifiers.org/reactome/R-HSA-1989820 http://identifiers.org/reactome/R-HSA-1989765
0.5000000000000001,1.0000000000000002,2,FALSE,CITED2,TRUE,FALSE,CITED2
0.5,0.5,1,FALSE,http://pathwaycommons.org/pc2/TemplateReaction_37586c8a2bc6e89dfb976c55475dccb7 http://pathwaycommons.org/pc2/TemplateReactionRegulation_13309e8a99c8e0d9db32de92e5533fe6,TRUE,FALSE,http://pathwaycommons.org/pc2/TemplateReaction_37586c8a2bc6e89dfb976c55475dccb7 http://pathwaycommons.org/pc2/TemplateReactionRegulation_13309e8a99c8e0d9db32de92e5533fe6
0.49999999999999994,2,1,FALSE,TP63,TRUE,FALSE,TP63
0.5,0.5,1,FALSE,RRAD,TRUE,FALSE,RRAD
0.5,0.5,1,FALSE,http://pathwaycommons.org/pc2/TemplateReactionRegulation_e61861cadd459ad6a256da40fe25d5a0 http://pathwaycommons.org/pc2/TemplateReaction_15de2b986ecd5a5925ba74fe73c71ccc,TRUE,FALSE,http://pathwaycommons.org/pc2/TemplateReactionRegulation_e61861cadd459ad6a256da40fe25d5a0 http://pathwaycommons.org/pc2/TemplateReaction_15de2b986ecd5a5925ba74fe73c71ccc
0.29999999999999993,1.4999999999999998,5,TRUE,NFKBIA,TRUE,FALSE,NFKBIA
