ligand,siRNA,Normalized_CellCount_Run1,Normalized_CellCount_Run2,Normalized_CellCount_Run3,Median_Proliferation,Proliferation_SD,Run1_Motility,Run2_Motility,Run3_Motility,Median_msd,msd_SD,Run1_Cyto,Run2_Cyto,Run3_Cyto,Median_cyto,cyto_SD,Run1_neighbors,Run2_neighbors,Run3_neighbors,Median_neighbors,neighbors_SD,Normalized_Similarity_Run1,Normalized_Similarity_Run2,Normalized_Similarity_Run3,Median_similarity
EGF,EPAS1,1.0014394645562474,0.9786607717700134,1.031656806996797,1.0014394645562474,0.02658488411039114,1.4220806586853851,1.2891992185723744,1.4150617225862132,1.4150617225862132,0.07477534409494606,1.0319474835886215,1.0311506675143038,0.9844497607655502,1.0311506675143038,0.027195720497869325,0.9758379841858084,1.0067453116786518,0.9567150975959527,0.979766131153471,0.025245362628408447,0.8012278769889555,1.016471104759359,1.0342177872678011,1.016471104759359
IFNG,EPAS1,0.9431469181873984,0.8367360747579237,0.923475954136284,0.923475954136284,0.05661863812774748,1.1874533785708294,1.4286482033290837,1.1943542044663402,1.1943542044663402,0.13730516061635628,0.9298500241896468,0.9846153846153848,1.0061728395061729,0.9846153846153848,0.03934704711870574,0.9716687897009554,1.0004588973403494,0.9723030436395216,0.9814769102269422,0.01644194166133724,0.819311674538971,0.9253574364775616,0.7569008067155316,0.819311674538971
OSM,EPAS1,1.1681576914737537,1.1535575695987508,1.2543832965925774,1.1681576914737537,0.0544882950132502,1.3799158018683213,1.870227948975974,1.3752777604798616,1.3799158018683213,0.28443019123667085,1.1127185051235684,1.0256410256410255,1.1433224755700326,1.1127185051235684,0.0610573693307015,1.0480929811239652,1.2257409857814154,1.201839742497767,1.1585579031343824,0.09640898092865478,0.7477787184947159,1.10739967810025,1.0131819296227704,1.0131819296227704
EGF,SCR,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
IFNG,SCR,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
OSM,SCR,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
EGF,CEBPD,0.993789852096398,0.8520275369128437,0.8674043345175491,0.8674043345175491,0.07778849418396336,1.0498880867731095,1.0242537411829418,0.91972351196744,1.0242537411829418,0.06895228425998935,1.186870897155361,1.3464717101080736,1.167464114832536,1.186870897155361,0.0982282731376452,1.006977443876737,0.9867775955366168,0.9785628565880744,0.990772632000476,0.014622497391243714,0.8727917634197615,0.989376531066448,1.2628537593010185,0.989376531066448
IFNG,CEBPD,0.9606246291178004,0.7721368492886997,0.8384914951929351,0.8384914951929351,0.09560952234679093,1.1568742251596713,1.1028707195327012,1.3888224747591864,1.1568742251596713,0.15192365156517973,1.146589259796807,1.3746153846153846,1.382716049382716,1.3746153846153846,0.13405060930459456,0.969745499,1.000400987145836,0.960986026,0.9770441707152786,0.020696322067881884,0.9092933433669492,0.9160038148044396,0.8980137274057404,0.9092933433669492
OSM,CEBPD,1.1560555817239755,0.9149201165831782,1.0309993752424482,1.0309993752424482,0.1205955787049597,1.4395735247740162,1.1744028873720611,0.9920648177554172,1.1744028873720611,0.22502839873711553,1.1416515973478,1.2150997150997151,1.2043973941368078,1.2043973941368078,0.03967829106278755,0.952058015,1.0610869011290256,1.0999014469952189,1.0376821210414149,0.07665023088186554,0.6873997424210104,1.0108639271773738,1.370811462464922,1.0108639271773738
EGF,VEGFA,0.9914306661270644,0.946844594458934,0.9662903516316615,0.9662903516316615,0.022353562996176225,0.9798615870095742,1.29972690723898,1.2212131145392635,1.2212131145392635,0.1666977297238272,0.9794310722100656,0.9586776859504132,0.9946172248803828,0.9794310722100656,0.018041492605783808,0.9816451202150048,0.9654538836638256,0.9389077344023764,0.9620022460937356,0.021576755732982792,0.8004344459289742,1.1047613489180748,1.2464207580764506,1.1047613489180748
