ligand,siRNA,CellCount,Replicate,Motility,CytoplasmicSize,NearestNeighbor,Similarity
IFNG,JUN,2.527848579250448,3,8.728260392873455,962,1.4328242757712304,1.018781171328346
IFNG,JUNB,2.620998719590269,3,12.45672647058823,812,1.4043445450241372,1.1156577462602282
IFNG,NFKB1,2.9356809856809853,3,9.417664501,757,1.3381255636746936,0.5974984451127355
IFNG,SCR,2.9952830188679247,3,14.638637609346183,648,1.4772566762515424,1
IFNG,SP1,1.4255263157894738,3,23.261959702483885,735.5,1.2065695385703483,1.1544503482628643
IFNG,STAT3,2.4873876123876126,3,19.510397966665565,659,1.484442778492893,0.6664805241971046
IFNG,TIMP1,3.0555555555555554,3,18.14911005187825,906,1.4256509348325386,0.5928879402920024
IFNG,TP73,2.478708551483421,3,12.556231323415144,808,1.382248867,0.6399312180806253
IFNG,VEGFA,3.0719226425748163,3,18.700796337808523,666,1.3964513391283675,1.0931183092875858
OSM,CEBPB,2.3552395879982084,3,14.179537237210733,1076,1.2901288877301882,0.5053277709994063
OSM,CEBPD,2.6841100076394193,3,8.672092124785921,739.5,1.211108227866982,1.370811462464922
OSM,CTNNB1,3.043468236796368,3,8.909970573,723,1.4391546552007284,0.7449237711282857
OSM,EPAS1,3.2656690592155857,3,12.021931654662293,702,1.3233531101290636,1.0131819296227704
OSM,FOSL2,2.414710609512708,3,9.696161192956476,740.5,1.117777325923704,0.7503181281806642
OSM,HIF1A,3.236729495669893,3,12.000389544900662,604,1.3859395397503191,0.3647733400552872
OSM,JUN,2.3896103896103895,3,5.2241212624422895,799,1.200479022601295,0.6882913043829115
OSM,JUNB,2.524249259833639,3,7.955853011428943,695,1.0877203053912976,0.7497276665738153
OSM,NFKB1,2.209833187006146,3,5.397634315265699,544,0.9199849426725062,0.8664410269797312
OSM,SCR,2.941446324695928,3,9.302302260712336,614,1.1219483050900971,1
OSM,SP1,1.357046332046332,3,21.42728736905331,625,1.152760526,0.9882043273161184
OSM,STAT3,2.957597717986277,3,16.93946638,707,1.5582278606941156,0.5048944276529155
OSM,TIMP1,2.9297112860892387,3,9.693527267,693,1.2150216126484938,0.7527430755064871
OSM,TP73,2.2383040935672516,3,9.370265950341787,636,1.010831117648177,0.9822798087403376
OSM,VEGFA,3.0047130289065773,3,9.928481928,680,1.201649238,0.913383447
